tweet,sentiment
"RT: This product broke after one day, complete waste of money",negative
"Complete failure, nothing works as advertised",negative
"This ruined my entire day, absolutely unacceptable",negative
"RT: Perfect weather today, feeling blessed and happy",positive
The new policy will take effect from next month #trending,neutral
"This ruined my entire day, absolutely unacceptable",negative
"so frustrated with this company, no response to emails",negative
The store closes at 9pm on weekdays #trending,neutral
"The new update is incredible, so many great features 🙌",positive
The package is expected to arrive in 3-5 business days,neutral
Comparing different plans before making a decision #trending,neutral
"RT: Thrilled with the results, hard work pays off!",positive
"So happy with my purchase, fast delivery too! 🙌",positive
"Worst experience ever, will never come back again",negative
checking the schedule for the upcoming events,neutral
just had the best coffee ever! loving this morning ☕😊,positive
"the worst movie i have ever watched, total waste of time",negative
"Thrilled with the results, hard work pays off! #trending",positive
Reviewing the terms and conditions of the service,neutral
Traffic was normal today on the highway,neutral
"So happy with my purchase, fast delivery too! #trending",positive
RT: Grateful for amazing friends and family today 💕,positive
"thrilled with the results, hard work pays off!",positive
RT: Watched a documentary about climate change last night,neutral
"Terrible customer service, waited 2 hours for help",negative
The new model comes with updated specifications,neutral
RT: Watched a documentary about climate change last night,neutral
"awful food, cold and tasteless, total disappointment",negative
"This made my day so much better, thank you! 🙌",positive
"This product broke after one day, complete waste of money",negative
"Horrible app, keeps crashing every 5 minutes",negative
"Horrible app, keeps crashing every 5 minutes",negative
"fantastic experience at the restaurant, will definitely return",positive
The meeting was rescheduled to next Tuesday #trending,neutral
"Perfect weather today, feeling blessed and happy",positive
Amazing product! Highly recommend to everyone!,positive
Reading about the latest technology developments,neutral
"Great customer service, very helpful and friendly staff #trending",positive
RT: Impressed with how fast the support team responded,positive
"RT: Poor design, difficult to use, and crashes constantly",negative
"RT: Excellent service as always, never disappoints",positive
"This is absolutely wonderful, exceeded all my expectations! #trending",positive
"Outstanding quality, worth every penny spent",positive
Best day ever! Everything went perfectly today 🎉 #trending,positive
"Worst experience ever, will never come back again #trending",negative
RT: Fed up with these constant delays and poor service,negative
The new policy will take effect from next month,neutral
"RT: Excellent service as always, never disappoints",positive
Attended a conference on machine learning today,neutral
"Terrible customer service, waited 2 hours for help",negative
"Complete failure, nothing works as advertised",negative
RT: The meeting was rescheduled to next Tuesday,neutral
"This is absolutely wonderful, exceeded all my expectations!",positive
Reviewing the terms and conditions of the service,neutral
"Thrilled with the results, hard work pays off!",positive
Heading to the office today for some meetings #trending,neutral
Never again! This company does not care about customers,negative
"RT: Thrilled with the results, hard work pays off!",positive
Reviewing the terms and conditions of the service,neutral
"RT: This product broke after one day, complete waste of money",negative
Impressed with how fast the support team responded #trending,positive
"Thrilled with the results, hard work pays off! 🙌",positive
"Great customer service, very helpful and friendly staff",positive
"RT: Fantastic experience at the restaurant, will definitely return",positive
"RT: Perfect weather today, feeling blessed and happy",positive
"Broken on arrival, no return policy, total scam",negative
"Complete failure, nothing works as advertised",negative
"So frustrated with this company, no response to emails #trending",negative
"RT: Very disappointed with the quality, not as described",negative
Amazing product! Highly recommend to everyone!,positive
"Extremely disappointed, this did not meet basic expectations #trending",negative
Watched a documentary about climate change last night,neutral
The quarterly report will be released next week,neutral
"RT: This product broke after one day, complete waste of money",negative
"RT: Great customer service, very helpful and friendly staff",positive
So excited for the weekend! Plans are amazing #trending,positive
RT: Looking at options for my next phone upgrade,neutral
RT: Reading about the latest technology developments,neutral
Looking at options for my next phone upgrade,neutral
The weather forecast says it might rain tomorrow #trending,neutral
"Very disappointed with the quality, not as described",negative
"complete failure, nothing works as advertised",negative
"RT: Excellent service as always, never disappoints",positive
"Terrible customer service, waited 2 hours for help #trending",negative
heading to the office today for some meetings,neutral
"RT: So happy with my purchase, fast delivery too!",positive
The new policy will take effect from next month #trending,neutral
"Complete failure, nothing works as advertised",negative
The office will be closed on public holidays #trending,neutral
RT: Heading to the office today for some meetings,neutral
Amazing product! Highly recommend to everyone! #trending,positive
"This product broke after one day, complete waste of money",negative
comparing different plans before making a decision,neutral
"Disgusting behavior from staff, very rude and unhelpful",negative
"RT: Terrible customer service, waited 2 hours for help",negative
"This made my day so much better, thank you! #trending",positive
RT: The meeting was rescheduled to next Tuesday,neutral
the meeting was rescheduled to next tuesday,neutral
"RT: Excellent service as always, never disappoints",positive
